#Entity   POWER             TOTEC                   TXTPT          RXTPT          GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID         W                 mJ                     KB/            KB/                                                                                                                                                                                                                                                                        
GPU 1     26.810            20848390074             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        605615                      440447                      0                           0                           
GPU 0     28.696            22351345411             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        31397032                    8731451                     0                           0                           
GPU 1     27.493            20848417592             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        605615                      440447                      0                           0                           
GPU 0     33.653            22351378225             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        31397032                    8731451                     0                           0                           
GPU 1     27.493            20848445200             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        166128                      175933                      0                           0                           
GPU 0     56.167            22351432768             N/A            N/A            100               0                 0.454        0.901        0.899        0.000        0.000        0.000        0.000        0.000        119309320                   35533199                    0                           0                           
GPU 1     27.493            20848472788             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        154203                      94519                       0                           0                           
GPU 0     56.346            22351490293             N/A            N/A            100               0                 1.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        42463443                    81127733                    0                           0                           
GPU 1     27.487            20848500363             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        98245                       59240                       0                           0                           
GPU 0     56.535            22351547918             N/A            N/A            100               0                 1.000        1.000        0.980        0.000        0.000        0.000        0.000        0.000        28344297                    73015224                    0                           0                           
GPU 1     27.493            20848527974             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        139246                      85926                       0                           0                           
GPU 0     56.145            22351599871             N/A            N/A            100               0                 1.000        1.000        0.974        0.000        0.000        0.000        0.000        0.000        26513124                    71405181                    0                           0                           
GPU 1     27.493            20848558321             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        179929                      107988                      0                           0                           
GPU 0     56.535            22351658022             N/A            N/A            100               0                 1.000        1.000        0.985        0.000        0.000        0.000        0.000        0.000        91630286                    75205179                    0                           0                           
GPU 1     27.487            20848585892             N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        102648                      62608                       0                           0                           
GPU 0     55.950            22351715828             N/A            N/A            100               0                 1.000        1.000        0.990        0.000        0.000        0.000        0.000        0.000        45861401                    77610431                    0                           0                           
